index_date,vale_(reais),pig_iron_(tonne)
2017-09-01,32.7429186675069,2445.76647885049
2017-10-01,33.1555545675955,2337.00561954182
2017-11-01,35.2019224741189,2435.9772627353
2017-12-01,39.7520985080419,2364.15299445213
2018-01-01,42.2132961208111,2351.72867532184
2018-02-01,44.8471792274609,2378.37688050838
2018-03-01,42.7569619264754,2451.77145476192
2018-04-01,47.7103784553438,2383.1146728275
2018-05-01,50.3289240811106,2318.80534892155
2018-06-01,48.7165789972534,2460.72681177141
2018-07-01,52.1384213111973,2433.05791540494
2018-08-01,53.5522664436227,2285.44453538
2018-09-01,62.0913261432923,2547.58660935827
2018-10-01,59.307047368048,2406.55458673016
2018-11-01,53.3781634185892,2288.00474755509
2018-12-01,50.5308402613666,2355.92663371809
2019-01-01,46.3493888838782,2414.57789076152
2019-02-01,47.008466775839,2384.81917187485
2019-03-01,51.4217112047891,2379.83439742777
2019-04-01,48.9862358843228,2421.22006908868
2019-05-01,48.2259765872576,2392.78241533393
2019-06-01,50.3183209712388,2368.62072203468
2019-07-01,47.1066281832326,1845.78504967622
2019-08-01,45.7537842568084,1872.10938766907
2019-09-01,50.0540625720719,1918.92620932628
2019-10-01,49.8456932838144,2083.13146794174
2019-11-01,50.7963665495897,2116.1554741552
2019-12-01,52.704971734198,2146.89257528969
2020-01-01,50.9550098338839,2118.87895679629
2020-02-01,44.2897136712488,2337.8485092947
